  1  1   0.07
  2  1   0.03
  2  2  -0.04
  3  1   0.08
  3  2   0.05
  3  3   0.05
  4  1   0.17
  4  2   0.18
  4  3   0.12
  4  4   0.12
  5  1   0.23
  5  2   0.20
  5  3   0.29
  5  4   0.40
  5  5   0.17
  6  1   0.01
  6  2  -0.11
  6  3   0.01
  6  4   0.06
  6  5   0.13
  6  6  -0.25
  7  1   0.98
  7  2   0.83
  7  3   0.92
  7  4   0.85
  7  5   0.80
  7  6   0.75
  7  7   1.20
  8  1   0.93
  8  2   0.78
  8  3   0.76
  8  4   0.71
  8  5   0.68
  8  6   0.69
  8  7   1.34
  8  8   1.37
  9  1   0.72
  9  2   0.67
  9  3   0.71
  9  4   0.73
  9  5   0.77
  9  6   0.49
  9  7   0.12
  9  8   0.19
  9  9   0.70
 10  1   0.02
 10  2  -0.08
 10  3  -0.03
 10  4  -0.01
 10  5  -0.00
 10  6  -0.12
 10  7   0.66
 10  8   0.79
 10  9  -0.55
 10 10  -0.36
 11  1   0.38
 11  2   0.30
 11  3   0.35
 11  4   0.37
 11  5   0.59
 11  6   0.22
 11  7   0.81
 11  8   0.82
 11  9   0.54
 11 10   0.23
 11 11   0.13
 12  1   0.10
 12  2  -0.04
 12  3  -0.01
 12  4  -0.12
 12  5  -0.06
 12  6  -0.13
 12  7   1.00
 12  8   1.06
 12  9  -0.46
 12 10  -0.46
 12 11   0.24
 12 12  -0.50
 13  1   0.42
 13  2   0.34
 13  3   0.41
 13  4   0.45
 13  5   0.66
 13  6   0.26
 13  7   0.90
 13  8   0.91
 13  9   0.45
 13 10   0.20
 13 11   0.53
 13 12   0.19
 13 13   0.45
 14  1  -0.05
 14  2  -0.18
 14  3  -0.12
 14  4  -0.14
 14  5  -0.10
 14  6  -0.26
 14  7   0.85
 14  8   0.87
 14  9  -0.15
 14 10  -0.26
 14 11   0.23
 14 12  -0.34
 14 13  -0.00
 14 14  -0.93
 15  1   0.04
 15  2  -0.11
 15  3   0.00
 15  4   0.04
 15  5   0.18
 15  6  -0.26
 15  7   0.61
 15  8   0.42
 15  9   0.19
 15 10  -0.21
 15 11   0.18
 15 12  -0.46
 15 13   0.22
 15 14  -0.46
 15 15  -0.31
 16  1  -0.22
 16  2  -0.38
 16  3  -0.26
 16  4  -0.25
 16  5  -0.11
 16  6  -0.54
 16  7   0.71
 16  8   0.48
 16  9   0.31
 16 10  -0.28
 16 11   0.09
 16 12  -0.47
 16 13   0.09
 16 14  -0.40
 16 15  -0.48
 16 16  -0.96
 17  1  -0.60
 17  2  -0.79
 17  3  -0.62
 17  4  -0.60
 17  5  -0.28
 17  6  -0.95
 17  7   0.70
 17  8   0.28
 17  9   0.21
 17 10  -0.30
 17 11  -0.10
 17 12  -0.56
 17 13  -0.20
 17 14  -0.76
 17 15  -0.80
 17 16  -1.31
 17 17  -1.98
 18  1  -1.52
 18  2  -1.54
 18  3  -1.54
 18  4  -1.40
 18  5  -0.88
 18  6  -1.52
 18  7   0.19
 18  8   0.04
 18  9   0.06
 18 10  -0.27
 18 11  -0.07
 18 12  -0.68
 18 13  -0.79
 18 14  -1.67
 18 15  -1.39
 18 16  -1.46
 18 17  -2.00
 18 18  -5.67
